Cleaned_Text,Labels,PCA1,PCA2
dont know cant really think anything playing little golf producing baby really stay home,7,7.5505667,2.819411
dont tell going dont dont tell going please,7,7.72346,2.9372106
yeah think im always pretty good matter fan always talk staying bubble term really got different meaning year,2,7.426902,1.0589972
going say marcus final mvp american league sitting first team validate season put together,4,8.33188,3.0553024
obviously today grind last thursday still still saw good score obviously many saw last week,2,7.436411,2.9230988
yeah think tired third set start start play know longer point really tired,2,5.851321,1.0150889
yeah zacks preparation probably best game there couple guy well max stras anbal guy well,2,7.3084555,-0.15456346
managed hit shot close one didnt managed save par,2,5.663467,3.9527285
yeah he battling heel struggling move little bit toughed well see feel tomorrow,3,5.6565375,2.1980379
like wimbledon main game practicing injured wimbledon,3,6.64054,1.4733354
yeah mean go aggressive lot credit go scout defense dayin dayout gave u great look,1,8.59344,1.4130319
cant say turned doublefaulted three time wish could take credit turning,2,9.582512,3.1755004
unusual rare would dominate way support single driver win driver championship bring home manufacturer trophy,2,5.6925173,3.743015
feel great weve good speed look vega didnt get damage get trapped lap minute really good capable winning,2,7.2197866,2.0878463
fairest match play today expected win came im expected win tomorrow ill go hopefully thing work,2,8.67929,3.3772955
said going make couple tournament open open didnt talk afterwards,6,6.11429,1.609042
obviously love chance youve twice make event special,6,7.0637145,2.9534655
bad fouryear run almost feel like got started u year ago place theyve foot gas pedal ever since,5,5.4318976,3.099778
much champagne dont even remember said dad probably love he proud told work grind congratulated,5,6.936476,4.32015
hit pretty good tee shot like like downwind hit iron foot make putt,2,5.2702723,3.8297806
dont think andre lacked anything think andre tool great player great player,2,8.39355,0.85066366
absolutely winning thats thats fan base think going field team give u best opportunity,5,9.504491,1.034569
last year watching little bit yeah year sure might watching dont know,7,8.0211935,2.0736806
yeah two week great one expect go quarterfinal great two week happy satisfied,2,9.2122135,2.398618
know played well gave opportunity took played well,2,7.657332,1.5583724
first congratulation stanford played great match tonight group obviously disappointing season come end many adventure went together,5,8.691739,3.4714632
team get nervous poised confident group prepared go play every game week different,5,6.2724195,0.9587545
trying put away hitter something big hitter big right he fire taking something special good,2,9.168251,2.243209
mean think certainly early season major factor season progressed become less less factor weve adjust business,2,8.350101,2.9711313
weve talking lot talk little bit baseball talk workout stuff he good place,7,6.287838,2.0919385
yeah absolutely gorgeous really made super fun many people watch even though wasnt official spectator,7,8.752482,2.3883684
im thinking thats something matt connected incredible look matt easiest part put back net,1,9.27457,3.7194786
good done many good thing golf many tournament golf game close perfection course intimidated,2,6.519315,3.8584714
yeah yeah much better technique much better knew hardcourt couldnt play good could play good im sure,2,6.575922,0.65774035
think made difference ran second led lap ran second day little bit speed felt like,2,7.041482,2.0699499
yeah depends type hitter people stick approach people try play along little bit kind get step ahead,2,7.9273667,1.7689152
felt like little bit notice ally would always make top thought good motivation,5,5.9350915,2.129578
oh god laugh im done struggle today especially tee think spending time crowd inside rope today fan friendly today,2,6.995661,2.6931221
something like said came yesterday felt little bit little spasm today woke lot worse,3,5.451966,2.1155088
well wouldnt expect worst strikeout team world series know im saying expect good really good,4,9.9390545,2.324024
youve incredible season year put youve winning almost every week,2,7.4766746,2.275074
first ill certainly give salisbury credit deserve thought played good game today disciplined offense defense played tight day give lot credit,4,8.324183,1.2705653
oh absolutely tell three day day place trying play tennis finally could go yesterday couple hour get something,7,8.277793,3.7479684
snarl kind ive never really made face like ever really entire life kind happened midst thing moment,7,6.8779182,3.8771064
dont know havent played stadium compared court slower yeah little bit difficult serve volley player play well,2,6.910336,1.9070319
echo place youre proud go say beautiful field let meet let get together camaraderie amazing,5,7.88602,0.5771338
im definitely going take time took couple day event spend family im turning wednesday dont know im going yet,7,8.500121,4.5132213
ill second tremendous player even better people field mean leadership charisma easy follow,5,8.61454,0.93859136
oh going tough mean good player top player going tough,6,8.237063,0.8149311
really looking far ahead playing michael right im concerned playing enqvist worry time come,6,8.7105875,3.6908178
well blocking jazz sweet pretty frustrating im going lie think pretty good job staying patient going get werent going get frustrated,2,7.261014,0.8187131
feel great ready go exactly needed get get little momentum built feel good,5,6.0405183,2.3950582
well guess mean played good team thats fortunate team made far,5,10.248548,1.9925213
obviously there measure contract allow club extend payouts extra year contract allows immediacy payroll current year flexibility,7,8.013826,1.994607
course thats always going help like said every team looking starter never enough thats fact,1,9.832469,1.1957698
truly believe opportunity today weve really well driving run men scoring position didnt happen today well come back tomorrow,4,7.1796556,3.3164499
early get kind sense dont think much feel tournament yet,7,7.0063415,1.6134554
practicing knowledge share knowledge girl take decision talk keeper bowler one senior player thats,1,8.535394,0.583446
would say obviously depends get tomorrow think condition expect come,6,8.803701,1.6646938
well major obviously would something special think yeah hopefully get im,2,7.2810307,3.185023
yeah good question im hiring authority dont know think important really strong woman position leadership sport,7,8.028467,2.0756683
dived get point little bit luck got,2,5.2173824,1.862126
im actually looking right walked office havent talked yet im going find status he going talk minute,3,8.426637,4.5222545
yeah would definitely say approach also difficult play kind windy condition still think give problem pas coming sure,2,7.4555335,1.828128
dont get chance know well thing know great leader football team great player,2,9.402117,2.1405501
lot thing could happen lap car guessing wrong able run bottom run top get good run something along line never materialized,2,5.4364834,2.8948977
marisnick jake impact defender he got base running skill utilize hitting front pitcher he got little bit history corbin done pretty well,2,5.3278494,1.9934909
fun nice brother bag cool first time dad caddied since ive tour,7,6.7017226,4.7369704
obviously didnt usually play pretty well injury normally dont make habit,3,6.087437,0.32844615
think obviously respond last night always whats front whatever behind past control,5,7.7315216,2.7516255
yeah know realized defensivewise much better offensive output game move ball move ball move ball skew defense,1,4.7325187,3.2288895
yeah honest havent talked know great run think respect career beyond yeah trying get better,7,6.6890335,0.7251963
got start game get little quick settled little bit chirinos hit good changeup,2,5.390122,2.1603494
